org_name2,street_num,street_name,suburb,neighbourhood,pincode,country
Starbucks,1,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
Starbucks,21,North Canal Road,Raffles Place,Clarke Quay,58710,Singapore
Golden Castle Building,80,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
Golden Castle Building,22,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Golden Castle Building,83,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Golden Castle Building,81,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Sun Spa,80,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
Sun Spa,76,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Wong Shee Fun Building,74,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,72,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,70,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,46,Hongkong Street,Raffles Place,Clarke Quay,59667,Singapore
MMI Building,5,Hongkong Street,Raffles Place,Clarke Quay,59648,Singapore
MMI Building,66,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,64,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,62,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,58,South Bridge Road,City Hall,Clarke Quay,58689,Singapore
MMI Building,56,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
MMI Building,54,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Legendary Bak Kut Teh,54,Carpenter Street,Raffles Place,Clarke Quay,58676,Singapore
Chai Ming Optical Pte Ltd,50,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Legendary Bak Kut Teh,50,Carpenter Street,Raffles Place,Clarke Quay,58676,Singapore
Legendary Bak Kut Teh,46,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Legendary Bak Kut Teh,42,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Legendary Bak Kut Teh,40,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Legendary Bak Kut Teh,36,South Bridge Road,City Hall,Clarke Quay,58670,Singapore
Bunc@Radius Hostel,36,South Bridge Road,Raffles Place,Clarke Quay,58670,Singapore
7-Eleven,21,South Bridge Road,Raffles Place,Clarke Quay,58670,Singapore
7-Eleven,21,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
7-Eleven,19,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
Local eating house,19,Upper Circular Road,Raffles Place,Clarke Quay,58657,Singapore
the Jam Bar,13A-15A,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
the Jam Bar,13A-15A,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
the Jam Bar,11,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Elgin Bridge,11,North Bridge Road,City Hall,Clarke Quay,58716,Singapore
Singapore River,11,Read Bridge,City Hall,Clarke Quay,179020,Singapore
