source,location_id,country,city,postalcode,name,latitude,longitude,address,cuisine,category,rating,ranking,num_reviews,awards,num_reviews.1,web_url
TripAdvisor,10523374,Indonesia,Pangkal Pinang,,Rumah Makan Pagi Sore,-2.15068,106.15015,"Jl. Pulau Pelepas Air Itam, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.5,"{'ranking_string': '#11 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '11', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#9 of 39 Restaurants in Pangkal Pinang']}",11,[],11,https://www.tripadvisor.com/Restaurant_Review-g1234796-d10523374-Reviews-Rumah_Makan_Pagi_Sore-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Suma.html?m=39546
TripAdvisor,13492345,Indonesia,Pangkal Pinang,,Warung Yok Ngopi,-2.15068,106.15015,"Jl. Pulau Pelepas Bacang, Bukit Intan, depan Bandara Depati Amir, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'cafe', 'localized_name': 'Cafe'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d13492345-Reviews-Warung_Yok_Ngopi-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,12652462,Indonesia,Pangkal Pinang,,Mr. Adox Restaurant,-2.139393,106.14438,"Jl. Gubernur, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.0,"{'ranking_string': '#13 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '13', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#11 of 39 Restaurants in Pangkal Pinang']}",13,[],13,https://www.tripadvisor.com/Restaurant_Review-g1234796-d12652462-Reviews-Mr_Adox_Restaurant-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,12484730,Indonesia,Manggar,,Warung Kopi Ayung,-2.131132,106.11573999999999,"Jl. Jend. Sudirman no. 33, Manggar, Belitung Island Indonesia",[],restaurant,4.0,"{'ranking_string': '#2 of 4 Places to Eat in Manggar', 'ranking_out_of': '4', 'geo_location_id': '3396933', 'ranking': '2', 'geo_location_name': 'Manggar', 'ranking_string_detail': ['#2 of 4 Restaurants in Manggar']}",1,[],1,https://www.tripadvisor.com/Restaurant_Review-g3396933-d12484730-Reviews-Warung_Kopi_Ayung-Manggar_Belitung_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,8394300,Indonesia,Pangkal Pinang,,Mie Asu,-2.1417900000000003,106.15193000000001,"Jl. Depati Hamzah, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'chinese', 'localized_name': 'Chinese'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.0,"{'ranking_string': '#12 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '12', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#10 of 39 Restaurants in Pangkal Pinang']}",16,[],16,https://www.tripadvisor.com/Restaurant_Review-g1234796-d8394300-Reviews-Mie_Asu-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,13325094,Indonesia,Pangkal Pinang,,Pondok Hijau Daun,-2.1284400000000003,106.15173999999999,"Jl. Air Itam, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d13325094-Reviews-Pondok_Hijau_Daun-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,4193514,Indonesia,Bangka Island,33149.0,Istana Laut Restaurant,-2.118184,106.17336999999999,"Kawasan Wisata Pantai Pasir Padi, Pangkalpinang, Bangka Island 33149 Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}, {'name': 'asian', 'localized_name': 'Asian'}]",restaurant,3.5,"{'ranking_string': '#17 of 51 Places to Eat in Bangka Island', 'ranking_out_of': '51', 'geo_location_id': '1234795', 'ranking': '17', 'geo_location_name': 'Bangka Island', 'ranking_string_detail': ['#15 of 47 Restaurants in Bangka Island']}",25,[],25,https://www.tripadvisor.com/Restaurant_Review-g1234795-d4193514-Reviews-Istana_Laut_Restaurant-Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,7725339,Indonesia,Pangkal Pinang,33147.0,Aroma Laut Restaurant Neptune,-2.118138,106.173805,"Jl. Raya Pantai Pasir Padi, Pangkal Pinang, Bangka Island 33147 Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}]",restaurant,3.5,"{'ranking_string': '#14 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '14', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#12 of 39 Restaurants in Pangkal Pinang']}",15,[],15,https://www.tripadvisor.com/Restaurant_Review-g1234796-d7725339-Reviews-Aroma_Laut_Restaurant_Neptune-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islan.html?m=39546
TripAdvisor,7390001,Indonesia,Pangkal Pinang,33131.0,Anggrek Resto,-2.130534,106.11561999999999,"Jln. Mayor Syafri Rachman No. 12, Pangkal Pinang, Bangka Island 33131 Indonesia","[{'name': 'japanese', 'localized_name': 'Japanese'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}, {'name': 'chinese', 'localized_name': 'Chinese'}]",restaurant,4.0,"{'ranking_string': '#9 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '9', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#2 of 3 Dessert in Pangkal Pinang']}",32,[],32,https://www.tripadvisor.com/Restaurant_Review-g1234796-d7390001-Reviews-Anggrek_Resto-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,10336695,Indonesia,Pangkal Pinang,,D'Grande Cafe & Resto,-2.130481,106.1153,"Jl. Letkol Rusli Ramli Komp. Bangka Trade Center Basement BF8, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}]",restaurant,3.0,"{'ranking_string': '#30 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '30', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#27 of 39 Restaurants in Pangkal Pinang']}",1,[],1,https://www.tripadvisor.com/Restaurant_Review-g1234796-d10336695-Reviews-D_Grande_Cafe_Resto-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatr.html?m=39546
